lat,long
42.524330,2.833970
42.557781,3.008220
42.605881,3.001510
42.615959,2.421260
42.672489,2.890730
42.686798,2.906970
42.693642,2.848580
42.698349,3.023390
42.699551,2.935550
42.716808,2.887910
42.776939,2.915210
42.963982,1.607080
43.002739,1.131120
43.030510,2.965890
43.074230,2.220470
43.094749,5.833810
43.095680,-0.046050
43.104519,0.386330
43.107109,6.026890
43.109020,5.854660
43.113750,0.759110
43.114639,1.613640
43.119068,5.936300
43.119289,6.128590
43.120720,5.944510
43.122700,5.881030
43.125000,5.932020
43.137032,6.005460
43.137829,6.021980
43.138500,6.021770
43.139561,6.036390
43.163792,-0.620020
43.174019,5.604280
43.175091,2.992560
43.180302,5.691250
43.183681,3.004190
43.190380,6.041510
43.207378,2.384570
43.208210,2.310310
43.216461,2.351830
43.221008,0.061250
43.232830,0.003250
43.252022,5.387300
43.261139,6.574860
43.271568,5.400030
43.278530,-0.354100
43.281601,3.283040
43.286930,5.383100
43.293129,5.378510
43.293388,5.564120
43.294189,5.374370
43.294289,5.399770
43.294491,5.481890
43.297722,5.380650
43.299492,5.376080
43.299648,1.955210
43.301620,5.380090
43.302990,5.401530
43.306381,3.480510
43.306782,3.166640
43.306831,-0.332050
43.307209,6.641320
43.308102,3.473330
43.317719,-0.423970
43.324291,-0.379800
43.335400,5.391620
43.347561,3.250890
43.366138,5.356690
43.372280,-0.625330
43.388191,5.599940
43.394058,5.131260
43.398411,-1.639720
43.408550,6.049200
43.409760,3.707930
43.412991,5.000800
43.413589,5.356000
43.418350,5.361590
43.421539,5.232020
43.421810,5.054270
43.423019,6.766370
43.428082,6.736220
43.429409,5.265440
43.431660,6.805780
43.444481,6.702090
43.453819,3.420890
43.454700,5.561200
43.455151,5.849470
43.465069,5.463910
43.465591,3.691230
43.481831,-1.503220
43.485180,5.222850
43.487389,5.377710
43.487801,-0.779390
43.496078,-1.435950
43.498241,4.979990
43.498878,2.385620
43.506020,5.397420
43.510342,6.478640
43.512070,1.372430
43.516079,5.436190
43.517719,-1.501650
43.519562,4.964140
43.520088,1.496780
43.529671,6.470620
43.532490,6.931670
43.534439,1.398820
43.536018,4.143050
43.536850,1.344210
43.544209,-1.461000
43.550362,1.502320
43.550678,1.417310
43.551891,6.956220
43.552090,7.014480
43.554970,1.467400
43.564899,1.514820
43.566299,1.393480
43.569710,3.838540
43.570469,1.310120
43.573349,1.493920
43.574329,7.090210
43.579498,7.052970
43.582340,3.931060
43.583649,3.926470
43.587761,2.270240
43.588039,4.998780
43.589069,1.358930
43.589119,3.855900
43.592770,2.218080
43.594879,3.127970
43.595089,1.419370
43.599930,7.086500
43.602581,3.915920
43.603168,7.085900
43.604080,1.443010
43.604450,1.072150
43.605228,1.447690
43.605591,3.880330
43.606190,1.483000
43.607929,1.395300
43.608181,3.879450
43.608219,3.879400
43.611290,1.434980
43.612499,1.332820
43.613178,1.328050
43.614250,3.800220
43.616501,6.973480
43.620811,3.437320
43.625919,3.838210
43.628681,5.113000
43.632870,5.100670
43.637772,1.376170
43.638241,5.099390
43.638309,7.133450
43.641418,3.942660
43.645088,6.945550
43.646000,1.471330
43.648918,1.366710
43.649300,0.593370
43.651791,6.944370
43.655312,3.999510
43.660130,3.901800
43.661861,1.431350
43.662670,7.131710
43.663910,1.524800
43.665909,4.638190
43.671211,-1.285040
43.673271,1.409710
43.679588,5.503530
43.683060,4.151250
43.692219,4.204960
43.695190,7.265880
43.698879,1.815000
43.700249,7.268400
43.700279,7.268120
43.700378,7.278750
43.703430,7.266270
43.703430,7.266270
43.709461,-1.055410
43.723881,-1.051140
43.730789,7.417570
43.741371,7.430010
43.742809,1.370630
43.765942,7.201210
43.775162,7.505530
43.783989,4.300120
43.811401,4.635360
43.811531,4.364470
43.815800,4.348030
43.822048,4.364230
43.827358,5.037590
43.827438,5.787590
43.835838,4.360480
43.856510,4.403620
43.877548,-0.465740
43.887581,5.367020
43.888081,4.852280
43.890968,-0.497900
43.892521,1.879320
43.917591,5.056060
43.920898,2.115670
43.922329,4.858240
43.937778,4.841930
43.939548,4.575780
43.946991,4.805880
43.951698,2.154610
43.957619,4.858250
43.959080,4.748290
43.979012,4.878440
43.982979,4.860170
44.016941,1.358610
44.037128,1.379970
44.052132,5.047410
44.057499,1.100000
44.077229,6.186250
44.090672,3.080150
44.113499,4.095640
44.126282,4.080060
44.136261,4.798880
44.136822,5.956970
44.157341,1.534200
44.176102,0.634980
44.177250,4.619230
44.201488,0.612090
44.204948,-1.220860
44.205479,0.626450
44.289669,4.751470
44.360191,2.570640
44.360390,2.011670
44.368511,4.693140
44.372910,2.592720
44.385639,4.999630
44.403439,0.669460
44.411129,-1.167240
44.467339,1.428470
44.509830,0.141190
44.515060,4.778660
44.516689,3.481610
44.531502,4.745320
44.538631,6.495930
44.542759,-0.254630
44.545078,6.063070
44.567650,4.756620
44.568958,6.103350
44.604809,2.012360
44.616070,-1.135140
44.618778,-1.157880
44.619308,4.388490
44.636379,-0.956440
44.654640,-0.362400
44.716122,4.611550
44.723789,-0.528730
44.759560,4.836920
44.771278,-1.117180
44.777908,-0.570840
44.786129,-0.636250
44.792469,-0.527580
44.800072,-0.595960
44.821350,-0.519530
44.826721,-0.653460
44.830940,-0.572440
44.834839,0.448770
44.837372,-0.576140
44.837372,-0.576140
44.841049,-0.574620
44.841999,-0.557440
44.844608,0.178850
44.849640,0.536390
44.856441,-0.651980
44.865559,-0.600220
44.865990,-0.513960
44.869900,-0.566380
44.874729,-0.428140
44.884350,-0.651030
44.886120,-0.693270
44.901482,-0.218380
44.902618,1.210760
44.903290,6.630090
44.908001,-0.489710
44.911171,-0.624370
44.915199,2.440360
44.916019,4.885220
44.928692,-0.240820
44.939240,4.864290
44.939461,4.914800
44.957520,-0.668320
44.959702,4.884100
45.005249,-0.436810
45.016350,4.874640
45.027000,3.880260
45.036030,3.057190
45.037960,5.055750
45.050308,5.077480
45.053478,4.836530
45.129978,-0.640940
45.131229,1.327260
45.143978,5.282710
45.146591,1.481300
45.149399,5.694260
45.150230,5.717230
45.158009,5.726970
45.168991,1.560910
45.184750,5.767110
45.189259,0.764810
45.190418,5.726010
45.191601,0.661370
45.194092,5.731840
45.196770,5.674290
45.203640,5.762630
45.253639,1.760830
45.255180,4.688140
45.270050,6.364460
45.295670,5.628990
45.308830,-0.937240
45.315239,3.373520
45.343880,4.820180
45.353741,5.333790
45.359249,5.591960
45.378300,4.274080
45.423141,4.392110
45.440510,4.338650
45.462780,4.494360
45.464352,4.399710
45.481030,4.442210
45.521851,4.294500
45.535599,4.871900
45.547298,3.265630
45.567871,5.428600
45.573421,5.950200
45.575668,4.811150
45.579868,-0.546530
45.585972,4.771730
45.589588,5.256980
45.592812,5.898020
45.593891,4.082910
45.623180,-1.003550
45.623379,6.777880
45.624142,0.110910
45.633282,0.212270
45.643520,5.132880
45.655891,6.363660
45.664490,6.390350
45.680698,4.793230
45.684158,4.947720
45.690639,-0.321610
45.691910,5.027510
45.692051,5.894570
45.692451,0.180780
45.712570,4.879390
45.719711,4.226550
45.720821,4.919680
45.724411,4.935560
45.726662,4.825010
45.730701,4.984530
45.733810,5.185350
45.739521,-0.664060
45.740070,3.172180
45.742809,4.772260
45.743061,4.877960
45.746689,3.093910
45.747162,4.741850
45.748760,4.861440
45.750519,4.799550
45.752739,4.772120
45.752930,4.829120
45.754971,4.842820
45.756519,3.128470
45.758060,4.834240
45.758190,5.025280
45.758549,5.705870
45.761700,4.855340
45.763050,4.913650
45.764198,4.834240
45.764309,4.768390
45.764938,3.126670
45.770500,4.863270
45.773899,4.982560
45.775761,4.801900
45.776260,3.187180
45.777561,4.919030
45.777962,3.081790
45.782249,1.305200
45.783039,4.829360
45.788502,3.105200
45.788689,4.778890
45.802120,4.785130
45.814041,1.260280
45.816250,4.887520
45.822060,4.994470
45.822609,3.153850
45.828972,-1.116310
45.840450,3.506610
45.848259,1.245060
45.855400,6.607270
45.856468,4.703880
45.858082,5.943960
45.858551,6.142300
45.875381,6.087570
45.880650,1.290310
45.889992,3.073420
45.890289,4.436770
45.895279,4.821370
45.900398,0.924040
45.923439,6.871380
45.923969,6.123750
45.933632,6.081910
45.951679,6.629860
45.954899,-0.529420
45.959309,-0.977710
45.967960,5.353910
45.982780,4.735180
45.999592,4.722960
46.039181,4.071870
46.045170,4.055300
46.066689,4.053820
46.066990,6.554720
46.073509,6.408540
46.109341,4.745460
46.111359,-1.102810
46.123051,6.094100
46.125462,5.811790
46.125629,3.400950
46.142269,3.415750
46.148380,-1.153280
46.166599,1.887520
46.175072,-1.168770
46.181931,6.230830
46.195221,5.229350
46.207352,5.238160
46.229622,5.985370
46.247398,4.785730
46.251431,5.183740
46.254261,5.642650
46.287971,4.810570
46.293571,6.079360
46.312069,-0.478670
46.331459,4.842190
46.338581,-0.414190
46.344311,2.600540
46.348850,6.431700
46.360298,2.535440
46.380772,5.832370
46.409458,-0.221110
46.450821,-0.804370
46.454910,-1.166460
46.462219,4.083810
46.503811,-1.734410
46.543499,3.342770
46.547600,0.299780
46.572971,0.371150
46.646461,0.362670
46.650799,-0.227800
46.669128,5.553400
46.669418,-1.418710
46.682522,4.362020
46.694340,-1.914160
46.698620,-1.430340
46.733841,2.491910
46.772598,4.859090
46.784359,4.852860
46.788380,4.865850
46.808239,1.691820
46.808418,4.424360
46.839699,0.546320
46.846378,-1.883850
46.849758,-0.469660
46.852180,1.702650
46.874889,-1.024380
46.910290,6.333880
46.949780,4.299420
46.952290,2.006980
46.970459,-1.331080
46.980679,3.093690
46.987949,3.167700
46.990631,-0.195410
46.998852,4.853000
47.041420,-0.899860
47.061810,2.369370
47.073280,-0.834850
47.081650,5.470580
47.092560,2.421610
47.094799,-1.005160
47.097221,-1.281730
47.104542,2.357130
47.112350,-2.072790
47.129181,0.986260
47.143791,-1.693670
47.160450,-1.542730
47.179588,0.269070
47.187069,-1.470720
47.188030,-1.588330
47.197319,-1.616880
47.211529,-1.616020
47.214008,-1.558360
47.219330,5.945990
47.224049,-1.630660
47.234650,-0.723370
47.238369,2.090660
47.248131,-1.610080
47.255550,-0.083420
47.257118,-1.510060
47.259140,-2.264620
47.261120,-1.582000
47.271580,5.982470
47.279541,5.016480
47.283161,-1.454030
47.285000,-1.551020
47.293430,-2.209020
47.293510,-2.397470
47.294651,-1.745520
47.313278,5.092350
47.315159,5.064050
47.322411,5.037040
47.329670,0.703020
47.336658,5.033470
47.339180,5.066350
47.344120,0.660910
47.355640,5.051980
47.365559,0.680840
47.373039,-1.194380
47.378700,1.736790
47.378941,0.659670
47.383678,-1.651830
47.389790,0.692320
47.396221,-0.529120
47.399158,2.922190
47.410358,0.981120
47.425690,0.702840
47.431770,-2.083860
47.448429,5.588770
47.456089,-0.511800
47.469452,-0.549030
47.469959,-0.548290
47.486610,-0.538100
47.487301,6.845630
47.499168,6.815760
47.499290,3.908620
47.519920,-0.612340
47.559582,-2.504390
47.580742,1.377120
47.597569,6.859890
47.605282,7.543720
47.606319,1.327790
47.628239,7.223570
47.628471,6.170020
47.630760,6.139650
47.645401,6.932560
47.651501,-2.725080
47.660301,-2.791830
47.661308,-2.071630
47.663738,-3.007410
47.674080,6.514920
47.700668,-1.404750
47.703739,-0.052580
47.708591,2.641060
47.733158,7.317810
47.748241,7.339110
47.748249,-3.364240
47.757359,1.614400
47.759380,7.279850
47.763432,-3.394950
47.767021,-3.344920
47.774879,7.390700
47.789371,7.316180
47.797180,7.173380
47.799801,-3.260190
47.807209,1.071170
47.807739,7.314150
47.814369,3.561850
47.818291,6.395090
47.823601,-0.702510
47.842220,-0.330160
47.844521,5.331820
47.851261,1.912850
47.852890,-1.689700
47.871361,-3.548360
47.879398,1.909870
47.881142,-4.217410
47.890121,-3.915700
47.899040,7.224900
47.903648,1.862130
47.904461,2.030380
47.907021,0.248870
47.907242,1.903340
47.930450,-2.394970
47.945541,1.892490
47.975571,0.215110
47.975620,0.157870
47.978001,2.734140
47.978680,-4.094940
47.979019,3.377350
48.007721,0.198580
48.016270,-4.086750
48.016430,6.614240
48.017540,0.218670
48.024681,-1.747380
48.036110,0.173530
48.043282,7.162250
48.045750,-1.602330
48.048359,-1.868640
48.049492,0.170510
48.053082,-2.959650
48.054138,-0.740440
48.070080,7.366370
48.077782,-0.798700
48.083321,-1.679810
48.089298,1.334210
48.103920,-1.711160
48.105068,-1.681730
48.108620,5.140340
48.111759,-1.680270
48.114151,-1.618080
48.115559,-1.708320
48.120918,-1.459330
48.123421,-1.214080
48.126362,7.378600
48.129810,-1.689050
48.148788,-1.769450
48.176479,-2.752800
48.177029,-1.918690
48.181030,0.652600
48.187771,2.249120
48.191170,6.418560
48.197762,3.287180
48.201180,6.487090
48.208359,3.277050
48.215580,-4.051740
48.219818,-1.756520
48.223202,-1.500680
48.268269,7.457020
48.272598,-3.567000
48.273590,4.087220
48.277470,6.960500
48.277649,2.684510
48.278919,4.042750
48.285381,-0.623940
48.292191,6.938520
48.296570,4.133750
48.298710,4.070510
48.317822,4.092950
48.327862,0.800780
48.352402,-1.202850
48.370461,5.707020
48.377300,2.956320
48.387341,-4.528060
48.393021,-4.481800
48.396839,0.088280
48.399349,-4.406680
48.415119,-4.468240
48.417221,-4.438750
48.417400,2.727100
48.424061,7.658410
48.425671,-4.573940
48.428108,1.513570
48.433819,2.171140
48.434109,0.059160
48.444290,1.484220
48.446949,1.445010
48.450169,-4.263460
48.451099,1.530890
48.454529,-2.497890
48.459202,7.495960
48.460831,-2.086720
48.494759,-2.715900
48.497940,2.350960
48.499371,2.584950
48.509010,3.720510
48.522461,2.653580
48.524250,7.690530
48.525101,7.498200
48.529091,7.732070
48.531231,-2.747860
48.551239,3.295070
48.554661,2.671530
48.556419,3.013450
48.557270,2.637250
48.559662,-1.489230
48.561939,7.752320
48.565750,-3.173610
48.566151,2.444750
48.567848,2.230800
48.577381,7.766410
48.579521,-2.058630
48.581810,6.505070
48.582970,7.747060
48.583092,7.743900
48.583092,7.743900
48.584290,7.736300
48.586121,2.596940
48.587090,2.303760
48.587780,-3.817120
48.588268,2.456420
48.588451,2.452250
48.593830,1.676110
48.595119,-1.970350
48.598461,7.656930
48.603191,6.361510
48.604549,7.705560
48.606739,7.749170
48.614571,2.456940
48.615421,2.548540
48.619350,6.174230
48.626339,4.964560
48.626480,2.695060
48.629921,2.361080
48.630680,2.492150
48.630852,7.764820
48.631062,2.426340
48.635311,-1.989260
48.636890,2.308270
48.639709,2.270940
48.648819,4.959160
48.655151,2.387250
48.658070,2.372050
48.666569,6.165750
48.669319,2.337070
48.670570,5.889320
48.670689,2.276740
48.676720,2.172390
48.679588,6.198660
48.681679,2.204420
48.683521,2.534190
48.686211,6.142840
48.689411,2.606890
48.690781,-1.367100
48.691040,7.380900
48.692162,6.181500
48.692860,2.338120
48.698341,2.137160
48.699589,2.417380
48.703701,2.253720
48.706692,6.219300
48.707119,2.496220
48.708561,2.382440
48.715679,2.299250
48.716358,2.437220
48.723549,3.722830
48.724640,2.278490
48.727451,-0.582800
48.728298,2.434270
48.729179,4.587850
48.730091,2.240870
48.733120,0.920280
48.733280,7.715180
48.734211,2.738360
48.734230,1.363120
48.734982,7.051900
48.746941,1.347020
48.748718,1.924460
48.750031,-0.033790
48.750980,2.413440
48.751610,-3.456930
48.754219,2.301340
48.756111,2.346570
48.756119,2.371820
48.760078,6.122660
48.761318,1.920470
48.761848,2.443950
48.762642,0.635870
48.762779,2.367940
48.763111,-3.039790
48.766708,2.484490
48.768040,2.063590
48.769669,2.034110
48.772511,2.399510
48.775871,5.163600
48.776630,2.605250
48.779881,2.456940
48.780331,2.193800
48.782310,2.042320
48.785240,2.460410
48.786652,2.255450
48.787102,2.054720
48.788700,2.451810
48.789440,2.389320
48.792278,2.320700
48.794830,2.551750
48.795219,2.369010
48.799549,2.039840
48.800758,2.128520
48.800789,2.542040
48.801762,7.835610
48.804710,3.091650
48.805519,2.131120
48.807201,2.293980
48.809898,2.471170
48.810650,2.327450
48.817268,2.497380
48.818748,2.131100
48.818958,2.397000
48.820190,2.475620
48.820480,2.251520
48.820751,2.363890
48.821270,2.414080
48.822170,2.206280
48.823151,7.769560
48.824299,2.298590
48.825729,2.393220
48.825932,2.357070
48.826988,2.366500
48.827049,2.279030
48.827049,1.962810
48.828049,1.976580
48.828300,2.327650
48.829731,2.356170
48.830818,2.356190
48.830841,2.711020
48.833141,2.277710
48.833321,2.331190
48.833981,2.642210
48.834068,2.242960
48.834942,2.562530
48.835480,2.406450
48.836609,2.351480
48.837318,2.296250
48.837780,2.487150
48.837978,-1.551750
48.838100,2.257760
48.839760,2.546050
48.840248,2.546730
48.841290,2.654990
48.843102,2.363970
48.844398,2.324570
48.844711,-0.885380
48.846989,2.285210
48.847160,2.436910
48.847191,2.340940
48.847309,2.386270
48.847370,2.410910
48.848961,2.297790
48.849731,2.576750
48.850342,2.375760
48.851311,2.343480
48.853329,2.410420
48.853371,2.779310
48.853371,2.779310
48.854679,2.483390
48.854778,2.369550
48.856949,2.420890
48.857670,2.277630
48.857800,2.351620
48.858730,2.347610
48.859772,2.149370
48.860889,2.348220
48.861629,2.347890
48.863380,1.459340
48.863411,2.333400
48.864239,2.369340
48.864670,2.408770
48.864731,2.375080
48.864910,2.397950
48.865620,2.417390
48.866520,2.340180
48.866791,2.364080
48.867069,2.382450
48.868198,2.281850
48.868671,2.367020
48.869541,2.783530
48.870510,2.227300
48.870579,2.682500
48.870811,2.347780
48.871059,2.335540
48.871071,2.303510
48.872082,2.340370
48.872509,2.299030
48.873020,2.332720
48.873909,2.384570
48.874210,2.329730
48.874271,2.482540
48.875381,2.296220
48.875462,2.325400
48.875469,2.328310
48.875858,2.343710
48.876122,2.356260
48.876701,2.602870
48.877190,2.406610
48.879890,2.416590
48.880569,2.352180
48.881279,2.272280
48.881721,2.238940
48.882118,2.370720
48.882420,2.337900
48.883369,2.327620
48.883701,2.474500
48.883968,2.346460
48.885132,2.195070
48.885620,2.291940
48.887550,2.325170
48.888439,2.392660
48.889309,2.374850
48.889992,2.197050
48.890518,2.359890
48.891331,2.290990
48.891472,2.236380
48.891560,2.238680
48.891918,2.444740
48.895962,2.249090
48.895988,2.346010
48.897572,2.089160
48.899300,2.344140
48.901119,6.064680
48.901691,2.226290
48.902779,2.303540
48.905441,2.039500
48.905880,2.331770
48.906040,2.447200
48.906609,2.554580
48.906609,2.284600
48.907341,2.490120
48.907688,2.149040
48.910561,2.234710
48.913059,2.380340
48.914280,-0.205300
48.916119,2.423950
48.916538,2.531560
48.919708,1.976070
48.921249,2.362780
48.923092,2.254810
48.923599,2.219510
48.926208,2.292080
48.927410,2.140580
48.928741,2.043930
48.929218,2.602970
48.930561,2.482910
48.930828,2.555620
48.931438,2.398220
48.933281,2.280460
48.936020,2.364860
48.936020,2.364860
48.936588,2.331750
48.936642,2.033320
48.938049,2.170480
48.938759,2.527340
48.941010,2.303410
48.943241,2.661290
48.943909,2.250190
48.944260,4.385270
48.946480,3.109840
48.948238,2.207720
48.949799,2.386760
48.955559,2.890680
48.957611,2.545200
48.957699,2.881820
48.958179,2.329570
48.959332,2.474920
48.960178,4.315630
48.961609,2.400830
48.962631,2.057080
48.963661,2.290020
48.965370,2.256190
48.967350,1.867350
48.970501,2.306530
48.977699,2.497020
48.978191,2.377510
48.980011,1.696000
48.987679,1.747050
48.987839,2.072790
48.988499,1.712340
48.990971,2.289500
48.992008,2.432690
48.995510,2.192190
48.996311,2.379460
48.997429,1.906400
49.001560,2.515900
49.001709,2.516010
49.007011,2.351900
49.007530,1.164500
49.008228,2.389010
49.009472,2.548850
49.015469,2.221010
49.018372,2.095050
49.020039,2.465820
49.021091,3.946470
49.022758,2.140720
49.027599,1.144470
49.028389,2.096240
49.029800,7.959010
49.035801,2.120810
49.037750,1.592790
49.038219,2.083000
49.039551,3.386460
49.040932,2.339360
49.042431,2.071830
49.051529,3.955190
49.054600,2.023880
49.068420,-1.431560
49.070000,6.141020
49.078941,6.110490
49.088341,2.554110
49.089729,0.604650
49.097141,1.469050
49.097301,2.739230
49.099949,-1.080470
49.107792,6.225400
49.108791,6.718210
49.113380,7.090860
49.114349,6.172790
49.116550,6.177860
49.116589,-0.165500
49.124809,2.248850
49.133541,6.200220
49.141949,6.810890
49.144680,0.262870
49.146099,5.407300
49.146259,2.442250
49.148201,6.158350
49.148270,1.799310
49.152771,-0.343140
49.153210,2.253560
49.160252,1.335670
49.163761,-0.423120
49.164589,5.842420
49.175781,6.879000
49.177681,-0.319480
49.183090,-0.361520
49.193581,6.677930
49.194569,6.132170
49.204449,-0.332620
49.207470,2.592880
49.209961,-0.362470
49.210049,-0.364950
49.215939,4.050610
49.220589,2.138490
49.233009,2.466460
49.233898,2.889550
49.242489,4.013210
49.247349,6.134380
49.253399,3.979950
49.254250,3.090640
49.254299,4.030280
49.256599,4.033090
49.256599,4.033090
49.259781,2.451970
49.262981,6.170960
49.265339,4.060270
49.270489,-0.260250
49.273819,1.212790
49.283730,-0.708580
49.284489,1.790650
49.287628,-0.100040
49.287739,2.498130
49.289909,1.035300
49.305050,6.121440
49.309631,-1.102560
49.329288,1.100090
49.348709,6.177820
49.349110,0.095400
49.349522,0.520910
49.356091,6.140380
49.357101,6.140180
49.361530,6.107600
49.369781,6.189190
49.373619,3.315830
49.376049,2.413490
49.391682,2.788580
49.401649,2.129990
49.403259,1.066320
49.410290,1.141880
49.412231,0.251370
49.415771,2.822480
49.419979,1.050790
49.431221,1.086680
49.431831,2.084160
49.441921,1.090310
49.445332,1.073100
49.447350,2.095180
49.457821,1.043570
49.472969,1.112330
49.476212,5.955680
49.478199,1.740000
49.492310,0.129320
49.492401,0.106330
49.492908,0.130830
49.508820,4.365990
49.518379,5.755590
49.527481,0.191490
49.541279,5.780670
49.546581,0.950540
49.550999,0.491040
49.564720,3.624320
49.580681,2.997830
49.590961,3.654560
49.612572,0.774870
49.631119,3.243130
49.633930,-1.617090
49.647270,2.587180
49.661011,-1.686040
49.697922,4.928860
49.698631,2.793810
49.738178,4.705650
49.739151,4.749930
49.758839,0.375640
49.848179,3.288220
49.849098,3.269860
49.867210,2.378020
49.892109,2.300880
49.893921,2.294240
49.893921,2.294240
49.911369,1.078920
49.917000,4.087140
49.941460,2.930820
50.009129,2.669410
50.027050,4.033670
50.060810,1.407030
50.101452,1.857280
50.126110,3.423170
50.167419,3.236490
50.261848,3.952910
50.274780,3.967770
50.279861,2.731190
50.300339,2.738170
50.326832,3.400100
50.333599,3.513380
50.333801,2.926710
50.341370,3.096610
50.352612,3.282990
50.357719,3.523270
50.358002,3.523330
50.364330,3.523950
50.369808,3.473800
50.379318,3.090420
50.397640,3.045730
50.403709,1.595020
50.405411,2.975330
50.416012,2.977220
50.420280,2.779610
50.426590,2.802610
50.444401,2.946420
50.463799,2.828550
50.465542,3.595350
50.474281,3.242360
50.479469,2.965760
50.480190,2.665170
50.482311,2.547340
50.509602,1.630720
50.511261,2.476160
50.515369,2.623160
50.519691,2.790720
50.551800,3.055630
50.582909,3.089370
50.601002,3.051740
50.607109,2.959070
50.615089,3.137450
50.618851,3.033680
50.632702,3.062190
50.636009,2.411640
50.636021,3.069980
50.636700,3.063520
50.641628,3.071470
50.650600,2.984270
50.665401,3.076210
50.669750,3.156160
50.680931,3.220450
50.681622,3.130390
50.691349,2.870100
50.700008,1.608540
50.722309,2.535670
50.723629,2.740960
50.725800,3.133100
50.726898,1.644380
50.733231,1.670840
50.740299,2.259550
50.741230,3.146480
50.771000,3.126190
50.931450,1.809100
50.934589,1.799040
50.935692,1.863480
50.952019,1.891970
50.956299,2.433030
51.023129,2.312380
51.032829,2.371390
51.032871,2.393550);
